order_id,order_date,ship_date,customer_id,customer_name,region,category,product_name,quantity,unit_price,unit_cost,discount,year,quarter,month,month_name,month_year,day_of_week,days_to_ship,revenue,total_cost,profit,profit_margin,order_value,order_month,cohort_month,cohort_index,recency,frequency,monetary,r_score,f_score,m_score,rfm_total,customer_segment
ORD00011,2022-09-16,2022-09-22,CUST0386,Bob Taylor,Central,Office Supplies,Printer Paper,3,52.75,18.15,0.13,2022,Q3,9,Sep,2022-09,Friday,6.0,137.68,54.45,83.23,60.45,137.68,2022-09,2022-06,3,7,12,2284.62,5,3,1,9,Loyal Customers
ORD00012,2023-06-02,2023-06-09,CUST0245,Zoe Jackson,West,Office Supplies,Whiteboard Magnetic,5,153.54,56.52,0.01,2023,Q2,6,Jun,2023-06,Friday,7.0,760.02,282.6,477.42,62.82,760.02,2023-06,2022-04,14,202,11,4824.37,1,2,2,5,Others
ORD00013,2022-06-24,2022-06-26,CUST0061,Xander Thompson,Central,Electronics,Laptop Pro,5,1110.62,650.87,0.06,2022,Q2,6,Jun,2022-06,Friday,2.0,5219.91,3254.35,1965.56,37.66,5219.91,2022-06,2022-01,5,118,13,9176.44,2,3,4,9,At Risk
ORD00014,2023-09-01,2023-09-08,CUST0302,Jack Martin,Central,Sports & Outdoors,Dumbbell Set 20kg,5,200.29,70.62,0.05,2023,Q3,9,Sep,2023-09,Friday,7.0,951.38,353.1,598.28,62.89,951.38,2023-09,2022-03,18,18,14,7921.31,4,4,4,12,Champions
ORD00015,2022-06-16,2022-06-18,CUST0123,Henry Williams,North,Electronics,Wireless Headphones,1,291.07,81.03,0.01,2022,Q2,6,Jun,2022-06,Thursday,2.0,288.16,81.03,207.13,71.88,288.16,2022-06,2022-01,5,141,11,7200.74,1,2,4,7,Others
ORD00016,2023-08-14,2023-08-20,CUST0145,Olivia Jones,South,Clothing,Winter Jacket,1,239.1,87.58,0.07,2023,Q3,8,Aug,2023-08,Monday,6.0,222.36,87.58,134.78,60.61,222.36,2023-08,2022-01,19,119,15,6433.49,2,4,3,9,At Risk
ORD00017,2022-08-24,2022-08-29,CUST0116,Henry Davis,South,Office Supplies,Sticky Notes Bulk,1,19.02,5.24,0.14,2022,Q3,8,Aug,2022-08,Wednesday,5.0,16.36,5.24,11.12,67.97,16.36,2022-08,2022-02,6,155,9,4527.89,1,1,2,4,Others
ORD00018,2023-08-15,2023-08-19,CUST0064,Noah Robinson,West,Electronics,Laptop Pro,3,1115.73,600.92,0.05,2023,Q3,8,Aug,2023-08,Tuesday,4.0,3179.83,1802.76,1377.07,43.31,3179.83,2023-08,2022-07,13,5,11,6217.52,5,2,3,10,New Customers
ORD00019,2024-06-03,2024-06-09,CUST0166,Bob Robinson,South,Office Supplies,Desk Organizer,2,36.47,10.89,0.0,2024,Q2,6,Jun,2024-06,Monday,6.0,72.94,21.78,51.16,70.14,72.94,2024-06,2022-01,29,25,16,9365.26,4,5,5,14,Champions
ORD00020,2023-07-06,2023-07-11,CUST0021,David Williams,Central,Sports & Outdoors,Pull-up Bar Doorway,3,99.05,35.64,0.03,2023,Q3,7,Jul,2023-07,Thursday,5.0,288.24,106.92,181.32,62.91,288.24,2023-07,2023-07,0,238,6,3170.88,1,1,1,3,Others
ORD00021,2024-10-04,2024-10-05,CUST0241,Zoe Garcia,North,Clothing,Running Shoes Pro,2,112.13,48.66,0.05,2024,Q4,10,Oct,2024-10,Friday,1.0,213.05,97.32,115.73,54.32,213.05,2024-10,2022-04,30,88,7,1921.04,2,1,1,4,Others
ORD00022,2024-03-31,2024-04-07,CUST0390,Henry Miller,East,Furniture,Bookshelf,3,180.63,71.95,0.07,2024,Q1,3,Mar,2024-03,Sunday,7.0,503.96,215.85,288.11,57.17,503.96,2024-03,2022-09,18,120,9,6909.77,2,2,4,8,Others
ORD00023,2022-01-03,2022-01-09,CUST0278,Carol Anderson,Central,Office Supplies,Stapler Heavy Duty,4,25.61,9.39,0.01,2022,Q1,1,Jan,2022-01,Monday,6.0,101.42,37.56,63.86,62.97,101.42,2022-01,2022-01,0,1,12,8697.37,5,3,4,12,Loyal Customers
ORD00024,2023-02-21,2023-02-24,CUST0282,Quinn Martinez,West,Office Supplies,Desk Organizer,3,38.74,11.22,,2023,Q1,2,Feb,2023-02,Tuesday,3.0,,33.66,,,,2023-02,2022-05,9,56,17,8003.92,3,5,4,12,Loyal Customers
ORD00025,2022-11-21,2022-11-24,CUST0283,Victor Jackson,South,Electronics,Laptop Pro,1,1406.33,630.8,0.12,2022,Q4,11,Nov,2022-11,Monday,3.0,1237.57,630.8,606.77,49.03,1237.57,2022-11,2022-03,8,124,14,9804.09,2,4,5,11,At Risk
ORD00026,2023-08-21,2023-08-26,CUST0362,Chris Davis,West,Electronics,Tablet Air,1,756.68,317.33,0.13,2023,Q3,8,Aug,2023-08,Monday,5.0,658.31,317.33,340.98,51.8,658.31,2023-08,2022-03,17,25,13,3792.38,4,4,2,10,Loyal Customers
ORD00027,2024-11-06,2024-11-12,CUST0070,Emma Garcia,West,Furniture,Filing Cabinet,5,229.98,93.23,0.04,2024,Q4,11,Nov,2024-11,Wednesday,6.0,1103.9,466.15,637.75,57.77,1103.9,2024-11,2022-04,31,8,19,18007.34,5,5,5,15,Champions
ORD00028,2024-09-29,2024-10-06,CUST0077,Victor Brown,East,Office Supplies,Desk Organizer,3,33.61,10.12,0.07,2024,Q3,9,Sep,2024-09,Sunday,7.0,93.77,30.36,63.41,67.62,93.77,2024-09,2022-01,32,93,14,4051.23,2,4,2,8,At Risk
ORD00029,2023-05-05,2023-05-10,CUST0197,Chris Williams,North,Sports & Outdoors,Pull-up Bar Doorway,4,84.42,35.29,0.12,2023,Q2,5,May,2023-05,Friday,5.0,297.16,141.16,156.0,52.5,297.16,2023-05,2022-01,16,57,12,3302.31,3,3,2,8,Loyal Customers
ORD00030,2022-11-08,2022-11-12,CUST0019,Emma Miller,East,Office Supplies,Sticky Notes Bulk,1,18.39,5.33,,2022,Q4,11,Nov,2022-11,Tuesday,4.0,,5.33,,,,2022-11,2022-01,10,40,11,2202.82,4,2,1,7,New Customers
ORD00031,2022-10-23,2022-10-27,CUST0336,Aaron Wilson,East,Electronics,Tablet Air,1,591.44,330.36,0.01,2022,Q4,10,Oct,2022-10,Sunday,4.0,585.53,330.36,255.17,43.58,585.53,2022-10,2022-05,5,29,12,9670.96,4,3,5,12,Loyal Customers
ORD00032,2024-12-28,2025-01-01,CUST0163,Victor Harris,West,Office Supplies,Desk Organizer,4,38.07,11.26,0.13,2024,Q4,12,Dec,2024-12,Saturday,4.0,132.48,45.04,87.44,66.0,132.48,2024-12,2022-06,30,3,7,2321.04,5,1,1,7,New Customers
ORD00033,2023-08-12,2023-08-14,CUST0383,Iris Williams,North,Sports & Outdoors,Yoga Mat Premium,3,63.91,19.15,0.15,2023,Q3,8,Aug,2023-08,Saturday,2.0,162.97,57.45,105.52,64.75,162.97,2023-08,2022-07,13,5,10,2513.22,5,2,1,8,New Customers
ORD00034,2022-04-25,2022-04-28,CUST0184,Karen Wilson,Central,Clothing,Casual Polo Shirt,1,59.85,18.1,0.02,2022,Q2,4,Apr,2022-04,Monday,3.0,58.65,18.1,40.55,69.14,58.65,2022-04,2022-04,0,75,14,5493.04,3,4,3,10,Loyal Customers
ORD00035,2024-02-23,2024-02-28,CUST0350,Rachel White,South,Clothing,Cotton T-Shirt Pack,1,37.96,10.44,0.14,2024,Q1,2,Feb,2024-02,Friday,5.0,32.65,10.44,22.21,68.02,32.65,2024-02,2022-07,19,171,16,6712.99,1,5,3,9,Lost Customers
ORD00036,2024-08-10,,CUST0347,Wendy Miller,East,Furniture,Filing Cabinet,3,235.7,94.39,0.01,2024,Q3,8,Aug,2024-08,Saturday,,700.03,283.17,416.86,59.55,700.03,2024-08,2022-03,29,143,9,2818.61,1,1,1,3,Others
ORD00037,2023-09-11,2023-09-13,CUST0197,Chris Williams,West,Sports & Outdoors,Resistance Bands Kit,1,32.15,8.89,0.02,2023,Q3,9,Sep,2023-09,Monday,2.0,31.51,8.89,22.62,71.79,31.51,2023-09,2022-01,20,57,12,3302.31,3,3,2,8,Loyal Customers
ORD00038,2024-03-21,2024-03-24,CUST0005,Victor Thompson,North,Sports & Outdoors,Resistance Bands Kit,1,31.57,9.71,0.1,2024,Q1,3,Mar,2024-03,Thursday,3.0,28.41,9.71,18.7,65.82,28.41,2024-03,2022-08,19,70,12,4851.06,3,2,2,7,Potential Loyalists
ORD00039,2023-04-17,2023-04-22,CUST0181,Tara Williams,East,Sports & Outdoors,Sports Water Bottle,1,22.64,6.39,0.03,2023,Q2,4,Apr,2023-04,Monday,5.0,21.96,6.39,15.57,70.9,21.96,2023-04,2022-02,14,307,10,6300.62,1,2,3,6,Others
ORD00040,2024-06-21,2024-06-22,CUST0297,Olivia White,East,Furniture,Ergonomic Footrest,1,59.09,22.45,0.02,2024,Q2,6,Jun,2024-06,Friday,1.0,57.91,22.45,35.46,61.23,57.91,2024-06,2022-03,27,35,15,8236.43,4,4,4,12,Champions
ORD00041,2024-01-20,2024-01-25,CUST0257,Maya Anderson,East,Office Supplies,Sticky Notes Bulk,3,18.08,4.76,0.12,2024,Q1,1,Jan,2024-01,Saturday,5.0,47.73,14.28,33.45,70.08,47.73,2024-01,2022-07,18,50,14,8502.9,3,4,4,11,Loyal Customers
ORD00042,2022-06-04,2022-06-06,CUST0387,Henry Williams,West,Clothing,Running Shoes Pro,1,132.48,46.76,0.13,2022,Q2,6,Jun,2022-06,Saturday,2.0,115.26,46.76,68.5,59.43,115.26,2022-06,2022-03,3,72,12,8346.82,3,3,4,10,Loyal Customers
ORD00043,2022-09-11,2022-09-15,CUST0189,Olivia Anderson,Central,Sports & Outdoors,Resistance Bands Kit,1,27.21,8.85,0.1,2022,Q3,9,Sep,2022-09,Sunday,4.0,24.49,8.85,15.64,63.86,24.49,2022-09,2022-04,5,104,17,6911.77,2,5,4,11,At Risk
ORD00044,2022-02-21,2022-02-26,CUST0288,Victor Thomas,North,Clothing,Dress Pants,1,110.4,33.74,0.09,2022,Q1,2,Feb,2022-02,Monday,5.0,100.46,33.74,66.72,66.41,100.46,2022-02,2022-01,1,23,17,12489.96,4,5,5,14,Champions
ORD00045,2022-03-18,2022-03-21,CUST0253,Liam Martinez,Central,Clothing,Dress Pants,1,92.21,35.47,0.04,2022,Q1,3,Mar,2022-03,Friday,3.0,88.52,35.47,53.05,59.93,88.52,2022-03,2022-03,0,166,10,1433.81,1,2,1,4,Others
ORD00046,2024-05-08,2024-05-13,CUST0381,Karen Thomas,North,Furniture,Filing Cabinet,3,223.54,97.59,0.13,2024,Q2,5,May,2024-05,Wednesday,5.0,583.44,292.77,290.67,49.82,583.44,2024-05,2022-03,26,44,12,6225.35,3,3,3,9,Loyal Customers
ORD00047,2024-01-29,2024-01-31,CUST0228,Sam Thompson,East,Clothing,Cotton T-Shirt Pack,1,35.09,11.79,0.04,2024,Q1,1,Jan,2024-01,Monday,2.0,33.69,11.79,21.9,65.0,33.69,2024-01,2022-02,23,13,12,7031.8,5,3,4,12,Loyal Customers
ORD00048,2024-03-26,2024-03-29,CUST0098,Henry Johnson,West,Electronics,Mechanical Keyboard,1,135.63,45.21,0.14,2024,Q1,3,Mar,2024-03,Tuesday,3.0,116.64,45.21,71.43,61.24,116.64,2024-03,2022-06,21,14,8,7631.01,5,1,4,10,New Customers
ORD00049,2023-11-15,2023-11-17,CUST0065,Maya Taylor,Central,Electronics,4K Monitor,1,482.63,223.42,0.03,2023,Q4,11,Nov,2023-11,Wednesday,2.0,468.15,223.42,244.73,52.28,468.15,2023-11,2022-03,20,14,8,2022.76,5,1,1,7,New Customers
ORD00050,2022-10-30,,CUST0306,Victor Martinez,South,Furniture,Meeting Table,1,1133.74,593.12,0.26,2022,Q4,10,Oct,2022-10,Sunday,,838.97,593.12,245.85,29.3,838.97,2022-10,2022-03,7,161,19,4518.7,1,5,2,8,Lost Customers
ORD00051,2022-02-22,2022-02-24,CUST0008,Alice Williams,Central,Furniture,Meeting Table,3,1146.24,530.83,0.12,2022,Q1,2,Feb,2022-02,Tuesday,2.0,3026.07,1592.49,1433.58,47.37,3026.07,2022-02,2022-02,0,123,13,6260.04,2,3,3,8,At Risk
ORD00052,2024-12-13,2024-12-14,CUST0382,Iris Jackson,East,Office Supplies,Printer Paper,3,41.95,16.71,0.07,2024,Q4,12,Dec,2024-12,Friday,1.0,117.04,50.13,66.91,57.17,117.04,2024-12,2022-01,35,18,24,11194.58,4,5,5,14,Champions
ORD00053,2022-03-30,2022-04-05,CUST0338,Paul Davis,North,Sports & Outdoors,Pull-up Bar Doorway,5,77.58,33.02,0.07,2022,Q1,3,Mar,2022-03,Wednesday,6.0,360.75,165.1,195.65,54.23,360.75,2022-03,2022-01,2,72,14,12376.71,3,4,5,12,Loyal Customers
ORD00054,2024-06-27,2024-06-28,CUST0042,Victor Wilson,South,Electronics,Tablet Air,1,737.22,306.34,0.02,2024,Q2,6,Jun,2024-06,Thursday,1.0,722.48,306.34,416.14,57.6,722.48,2024-06,2022-03,27,100,18,9771.94,2,5,5,12,At Risk
ORD00055,2024-12-22,2024-12-25,CUST0233,Chris Taylor,North,Office Supplies,Desk Organizer,1,37.45,11.09,0.06,2024,Q4,12,Dec,2024-12,Sunday,3.0,35.2,11.09,24.11,68.49,35.2,2024-12,2022-02,34,3,13,11249.98,5,3,5,13,Loyal Customers
ORD00056,2024-04-27,2024-04-30,CUST0233,Chris Taylor,East,Sports & Outdoors,Sports Water Bottle,4,25.07,5.93,0.11,2024,Q2,4,Apr,2024-04,Saturday,3.0,89.25,23.72,65.53,73.42,89.25,2024-04,2022-02,26,3,13,11249.98,5,3,5,13,Loyal Customers
ORD00057,2024-08-29,2024-08-30,CUST0047,Maya Wilson,North,Clothing,Running Shoes Pro,1,129.54,47.03,0.01,2024,Q3,8,Aug,2024-08,Thursday,1.0,128.24,47.03,81.21,63.33,128.24,2024-08,2022-01,31,77,11,7042.55,2,2,4,8,Others
ORD00058,2023-11-07,2023-11-13,CUST0063,Xander Robinson,West,Office Supplies,Ballpoint Pens Pack,2,12.56,3.04,0.13,2023,Q4,11,Nov,2023-11,Tuesday,6.0,21.85,6.08,15.77,72.17,21.85,2023-11,2022-01,22,3,17,5516.93,5,5,3,13,Loyal Customers
ORD00059,2023-03-12,2023-03-14,CUST0337,Yara Martin,East,Electronics,USB-C Hub,2,47.71,13.67,0.13,2023,Q1,3,Mar,2023-03,Sunday,2.0,83.02,27.34,55.68,67.07,83.02,2023-03,2022-02,13,18,14,2294.64,4,4,1,9,Loyal Customers
ORD00060,2024-05-28,2024-06-04,CUST0288,Victor Thomas,Central,Sports & Outdoors,Resistance Bands Kit,1,27.43,8.68,0.12,2024,Q2,5,May,2024-05,Tuesday,7.0,24.14,8.68,15.46,64.04,24.14,2024-05,2022-01,28,23,17,12489.96,4,5,5,14,Champions
ORD00061,2022-03-01,2022-03-03,CUST0140,Bob Thomas,East,Sports & Outdoors,Yoga Mat Premium,3,63.76,20.51,0.05,2022,Q1,3,Mar,2022-03,Tuesday,2.0,181.72,61.53,120.19,66.14,181.72,2022-03,2022-01,2,98,16,11498.86,2,5,5,12,At Risk
ORD00062,2022-05-23,2022-05-25,CUST0380,Olivia Anderson,Central,Office Supplies,Printer Paper,3,42.05,16.97,0.0,2022,Q2,5,May,2022-05,Monday,2.0,126.15,50.91,75.24,59.64,126.15,2022-05,2022-02,3,5,18,4790.25,5,5,2,12,Loyal Customers
ORD00063,2023-10-27,2023-11-03,CUST0291,Jack Thomas,South,Furniture,Filing Cabinet,1,221.31,92.58,0.13,2023,Q4,10,Oct,2023-10,Friday,7.0,192.54,92.58,99.96,51.92,192.54,2023-10,2022-11,11,22,8,2958.2,4,1,1,6,New Customers
ORD00064,2024-05-18,2024-05-22,CUST0311,Beth Williams,Central,Furniture,Meeting Table,2,1073.91,522.51,0.04,2024,Q2,5,May,2024-05,Saturday,4.0,2061.91,1045.02,1016.89,49.32,2061.91,2024-05,2022-01,28,153,11,5365.02,1,2,3,6,Others
ORD00065,2024-09-23,2024-09-28,CUST0342,Karen Anderson,Central,Electronics,Mechanical Keyboard,3,131.17,40.54,0.03,2024,Q3,9,Sep,2024-09,Monday,5.0,381.7,121.62,260.08,68.14,381.7,2024-09,2022-03,30,99,14,13708.59,2,4,5,11,At Risk
ORD00066,2023-06-08,2023-06-11,CUST0168,Bob Anderson,West,Electronics,Laptop Pro,3,1129.59,664.18,,2023,Q2,6,Jun,2023-06,Thursday,3.0,,1992.54,,,,2023-06,2022-02,16,63,18,9852.45,3,5,5,13,Loyal Customers
ORD00067,2023-12-27,2023-12-28,CUST0204,Alice Thompson,North,Furniture,Standing Desk,2,596.44,294.29,0.01,2023,Q4,12,Dec,2023-12,Wednesday,1.0,1180.95,588.58,592.37,50.16,1180.95,2023-12,2022-03,21,9,24,17611.98,5,5,5,15,Champions
ORD00068,2024-05-05,2024-05-08,CUST0059,Emma Wilson,South,Clothing,Business Suit,2,432.68,146.76,0.14,2024,Q2,5,May,2024-05,Sunday,3.0,744.21,293.52,450.69,60.56,744.21,2024-05,2022-01,28,50,12,4001.7,3,3,2,8,Loyal Customers
ORD00069,2022-08-05,2022-08-07,CUST0224,David Williams,West,Sports & Outdoors,Jump Rope Pro,1,28.24,7.47,0.08,2022,Q3,8,Aug,2022-08,Friday,2.0,25.98,7.47,18.51,71.25,25.98,2022-08,2022-01,7,118,15,8812.14,2,4,4,10,At Risk
ORD00070,2024-11-11,2024-11-17,CUST0059,Emma Wilson,East,Office Supplies,Sticky Notes Bulk,1,17.67,4.87,0.03,2024,Q4,11,Nov,2024-11,Monday,6.0,17.14,4.87,12.27,71.59,17.14,2024-11,2022-01,34,50,12,4001.7,3,3,2,8,Loyal Customers
ORD00071,2022-07-30,2022-08-01,CUST0132,Henry Harris,North,Office Supplies,Sticky Notes Bulk,1,21.01,5.12,0.09,2022,Q3,7,Jul,2022-07,Saturday,2.0,19.12,5.12,14.0,73.22,19.12,2022-07,2022-02,5,86,15,8412.82,2,4,4,10,At Risk
ORD00072,2024-07-08,2024-07-14,CUST0290,Tara Robinson,East,Furniture,Ergonomic Footrest,3,66.84,22.9,0.15,2024,Q3,7,Jul,2024-07,Monday,6.0,170.44,68.7,101.74,59.69,170.44,2024-07,2022-03,28,119,13,1806.82,2,3,1,6,At Risk
ORD00073,2023-07-17,2023-07-22,CUST0029,Carol Thompson,West,Office Supplies,Ballpoint Pens Pack,2,12.14,2.99,0.01,2023,Q3,7,Jul,2023-07,Monday,5.0,24.04,5.98,18.06,75.12,24.04,2023-07,2022-06,13,156,8,11189.88,1,1,5,7,Others
ORD00074,2022-07-04,2022-07-09,CUST0305,Aaron Davis,Central,Clothing,Business Suit,1,340.89,152.7,0.07,2022,Q3,7,Jul,2022-07,Monday,5.0,317.03,152.7,164.33,51.83,317.03,2022-07,2022-02,5,114,13,4957.93,2,3,2,7,At Risk
ORD00075,2024-09-01,2024-09-06,CUST0078,Victor Thompson,East,Electronics,Tablet Air,1,749.26,313.55,0.07,2024,Q3,9,Sep,2024-09,Sunday,5.0,696.81,313.55,383.26,55.0,696.81,2024-09,2022-05,28,80,15,8316.82,2,4,4,10,At Risk
ORD00076,2024-12-09,2024-12-14,CUST0313,Chris Robinson,East,Electronics,Smartphone X,10,802.57,495.95,0.06,2024,Q4,12,Dec,2024-12,Monday,5.0,7544.16,4959.5,2584.66,34.26,7544.16,2024-12,2022-06,30,22,9,8501.84,4,1,4,9,New Customers
ORD00077,2023-11-17,2023-11-18,CUST0169,Bob Johnson,East,Clothing,Winter Jacket,1,244.71,90.52,0.1,2023,Q4,11,Nov,2023-11,Friday,1.0,220.24,90.52,129.72,58.9,220.24,2023-11,2022-02,21,154,12,4409.13,1,3,2,6,Lost Customers
ORD00078,2022-11-04,2022-11-07,CUST0042,Victor Wilson,East,Office Supplies,Sticky Notes Bulk,2,20.44,5.37,0.02,2022,Q4,11,Nov,2022-11,Friday,3.0,40.06,10.74,29.32,73.19,40.06,2022-11,2022-03,8,100,18,9771.94,2,5,5,12,At Risk
ORD00079,2022-06-23,2022-06-26,CUST0287,Grace Jackson,South,Office Supplies,Sticky Notes Bulk,2,19.61,4.91,0.12,2022,Q2,6,Jun,2022-06,Thursday,3.0,34.51,9.82,24.69,71.54,34.51,2022-06,2022-06,0,26,13,6564.94,4,3,3,10,Loyal Customers
ORD00080,2024-01-13,2024-01-16,CUST0093,Diana Smith,West,Sports & Outdoors,Yoga Mat Premium,1,64.43,19.75,0.05,2024,Q1,1,Jan,2024-01,Saturday,3.0,61.21,19.75,41.46,67.73,61.21,2024-01,2022-03,22,36,18,5023.39,4,5,3,12,Loyal Customers
ORD00081,2022-07-27,,CUST0395,Sam Miller,Central,Furniture,Standing Desk,1,708.0,269.27,0.11,2022,Q3,7,Jul,2022-07,Wednesday,,630.12,269.27,360.85,57.27,630.12,2022-07,2022-01,6,4,14,18457.11,5,4,5,14,Champions
ORD00082,2022-11-12,2022-11-14,CUST0093,Diana Smith,South,Electronics,Mechanical Keyboard,2,148.58,42.79,0.12,2022,Q4,11,Nov,2022-11,Saturday,2.0,261.5,85.58,175.92,67.27,261.5,2022-11,2022-03,8,36,18,5023.39,4,5,3,12,Loyal Customers
ORD00083,2024-06-28,2024-07-03,CUST0146,Noah Garcia,South,Clothing,Business Suit,1,381.24,149.09,0.12,2024,Q2,6,Jun,2024-06,Friday,5.0,335.49,149.09,186.4,55.56,335.49,2024-06,2022-01,29,86,20,6667.83,2,5,3,10,At Risk
ORD00084,2023-02-02,2023-02-05,CUST0348,Carol Jackson,West,Sports & Outdoors,Dumbbell Set 20kg,2,175.11,75.56,0.15,2023,Q1,2,Feb,2023-02,Thursday,3.0,297.69,151.12,146.57,49.24,297.69,2023-02,2022-02,12,59,12,13176.03,3,3,5,11,Loyal Customers
ORD00085,2023-02-13,2023-02-20,CUST0310,Paul Clark,West,Office Supplies,Whiteboard Magnetic,1,154.63,57.25,,2023,Q1,2,Feb,2023-02,Monday,7.0,,57.25,,,,2023-02,2022-06,8,26,17,8451.0,4,5,4,13,Champions
ORD00086,2022-09-13,2022-09-16,CUST0043,Wendy Williams,Central,Office Supplies,Desk Organizer,2,40.61,11.37,0.04,2022,Q3,9,Sep,2022-09,Tuesday,3.0,77.97,22.74,55.23,70.83,77.97,2022-09,2022-06,3,119,11,986.83,2,2,1,5,Others
ORD00087,2023-12-17,2023-12-18,CUST0213,Grace Wilson,South,Furniture,Filing Cabinet,4,199.65,101.24,0.08,2023,Q4,12,Dec,2023-12,Sunday,1.0,734.71,404.96,329.75,44.88,734.71,2023-12,2022-01,23,89,9,5527.36,2,1,3,6,Others
ORD00088,2023-11-18,2023-11-25,CUST0075,Quinn Wilson,West,Clothing,Business Suit,5,377.14,134.05,0.04,2023,Q4,11,Nov,2023-11,Saturday,7.0,1810.27,670.25,1140.02,62.98,1810.27,2023-11,2022-07,16,20,12,8576.47,4,3,4,11,Loyal Customers
ORD00089,2022-02-08,2022-02-11,CUST0111,Yara Miller,,Furniture,Ergonomic Footrest,5,66.35,22.41,0.08,2022,Q1,2,Feb,2022-02,Tuesday,3.0,305.21,112.05,193.16,63.29,305.21,2022-02,2022-01,1,8,16,10695.26,5,5,5,15,Champions
ORD00090,2022-04-08,2022-04-10,CUST0215,Iris Johnson,North,Sports & Outdoors,Jump Rope Pro,1,22.83,6.76,0.09,2022,Q2,4,Apr,2022-04,Friday,2.0,20.78,6.76,14.02,67.47,20.78,2022-04,2022-04,0,59,13,5069.82,3,3,3,9,Loyal Customers
ORD00091,2023-05-11,2023-05-17,CUST0074,Tara White,East,Electronics,Tablet Air,2,688.36,286.02,0.0,2023,Q2,5,May,2023-05,Thursday,6.0,1376.72,572.04,804.68,58.45,1376.72,2023-05,2022-02,15,8,10,3538.62,5,2,2,9,New Customers
ORD00092,2024-01-09,2024-01-10,CUST0270,Quinn Brown,Central,Furniture,Meeting Table,1,1205.96,574.73,0.12,2024,Q1,1,Jan,2024-01,Tuesday,1.0,1061.24,574.73,486.51,45.84,1061.24,2024-01,2022-01,24,43,17,11559.33,3,5,5,13,Loyal Customers
ORD00093,2024-02-04,2024-02-07,CUST0383,Iris Williams,East,Sports & Outdoors,Yoga Mat Premium,2,59.83,19.9,0.24,2024,Q1,2,Feb,2024-02,Sunday,3.0,90.94,39.8,51.14,56.23,90.94,2024-02,2022-07,19,5,10,2513.22,5,2,1,8,New Customers
